Experiment,prompt_category,version,LLM-agent,temperature,verbosity,reasoning_effort,API-error
rw17_indep_causes,CoT,2,gpt-5-nano,,low,minimal,
rw17_indep_causes,CoT,2,gpt-5-nano,,low,high,TRUE
rw17_indep_causes,numeric-conf,2,gpt-5-nano,,low,minimal,
rw17_indep_causes,CoT,2,gpt-5-nano,,low,medium,TRUE
rw17_indep_causes,CoT,2,gpt-5-nano,,low,low,
rw17_indep_causes,numeric-conf,2,gpt-5-nano,,low,low,
rw17_indep_causes,numeric-conf,2,gpt-5-nano,,low,high,TRUE
rw17_indep_causes,numeric,2,gpt-5-nano,,low,minimal,
rw17_indep_causes,numeric,2,gpt-5,,low,medium,
rw17_indep_causes,CoT,2,gpt-5,,low,medium,TRUE
rw17_indep_causes,numeric,2,gpt-5,,low,minimal,
rw17_indep_causes,numeric,2,gpt-5,,low,low,
rw17_indep_causes,numeric,2,gpt-5,,low,high,TRUE
rw17_indep_causes,numeric-conf,2,gpt-5,,low,high,
rw17_indep_causes,numeric-conf,2,gpt-5,,low,medium,
rw17_indep_causes,CoT,2,gpt-5,,low,minimal,
rw17_indep_causes,numeric-conf,2,gpt-5,,low,low,
rw17_indep_causes,numeric-conf,2,gpt-5,,low,minimal,
rw17_indep_causes,CoT,2,gpt-5,,low,high,TRUE
rw17_indep_causes,CoT,2,gpt-5,,low,low,
rw17_indep_causes,CoT,2,gpt-4,0.0,,,
rw17_indep_causes,numeric-conf,2,gpt-4,0.0,,,
rw17_indep_causes,numeric,2,gpt-4,0.0,,,
rw17_indep_causes,CoT,2,claude-opus-4-20250514,0.0,,,TRUE
rw17_indep_causes,numeric-conf,2,claude-opus-4-20250514,0.0,,,
rw17_indep_causes,numeric,2,claude-opus-4-20250514,0.0,,,
rw17_indep_causes,numeric,2,gpt-3.5-turbo,0.7,,,
rw17_indep_causes,numeric,2,gpt-3.5-turbo,0.0,,,
rw17_indep_causes,numeric-conf,2,gpt-3.5-turbo,0.0,,,
